Grupos ECOICOP	Tipo de dato	Comunidades y Ciudades Autónomas	Periodo	Total
Índice general	Índice	Nacional	2025M11	""
Índice general	Índice	Nacional	2025M10	119,30
Índice general	Índice	Nacional	2025M09	118,48
Índice general	Índice	Nacional	2025M08	118,82
Índice general	Índice	Nacional	2025M07	118,78
Índice general	Índice	Nacional	2025M06	118,87
Índice general	Índice	Nacional	2025M05	118,08
Índice general	Índice	Nacional	2025M04	118,00
Índice general	Índice	Nacional	2025M03	117,26
Índice general	Índice	Nacional	2025M02	117,19
Índice general	Índice	Nacional	2025M01	116,73
Índice general	Índice	Nacional	2024M12	116,53
Índice general	Índice	Nacional	2024M11	116,01
Índice general	Índice	Nacional	2024M10	115,73
Índice general	Índice	Nacional	2024M09	115,01
Índice general	Índice	Nacional	2024M08	115,71
Índice general	Índice	Nacional	2024M07	115,66
Índice general	Índice	Nacional	2024M06	116,21
Índice general	Índice	Nacional	2024M05	115,78
Índice general	Índice	Nacional	2024M04	115,47
Índice general	Índice	Nacional	2024M03	114,67
Índice general	Índice	Nacional	2024M02	113,81
Índice general	Índice	Nacional	2024M01	113,40
Índice general	Índice	Nacional	2023M12	113,31
Índice general	Índice	Nacional	2023M11	113,28
Índice general	Índice	Nacional	2023M10	113,68
Índice general	Índice	Nacional	2023M09	113,35
Índice general	Índice	Nacional	2023M08	113,15
Índice general	Índice	Nacional	2023M07	112,54
Índice general	Índice	Nacional	2023M06	112,35
Índice general	Índice	Nacional	2023M05	111,72
Índice general	Índice	Nacional	2023M04	111,77
Índice general	Índice	Nacional	2023M03	111,11
Índice general	Índice	Nacional	2023M02	110,70
Índice general	Índice	Nacional	2023M01	109,67
Índice general	Índice	Nacional	2022M12	109,90
Índice general	Índice	Nacional	2022M11	109,73
Índice general	Índice	Nacional	2022M10	109,87
Índice general	Índice	Nacional	2022M09	109,50
Índice general	Índice	Nacional	2022M08	110,26
Índice general	Índice	Nacional	2022M07	109,98
Índice general	Índice	Nacional	2022M06	110,27
Índice general	Índice	Nacional	2022M05	108,26
Índice general	Índice	Nacional	2022M04	107,37
Índice general	Índice	Nacional	2022M03	107,56
Índice general	Índice	Nacional	2022M02	104,40
Índice general	Índice	Nacional	2022M01	103,57
Índice general	Índice	Nacional	2021M12	103,96
Índice general	Índice	Nacional	2021M11	102,74
Índice general	Índice	Nacional	2021M10	102,42
Índice general	Índice	Nacional	2021M09	100,57
Índice general	Índice	Nacional	2021M08	99,74
Índice general	Índice	Nacional	2021M07	99,29
Índice general	Índice	Nacional	2021M06	100,05
Índice general	Índice	Nacional	2021M05	99,57
Índice general	Índice	Nacional	2021M04	99,11
Índice general	Índice	Nacional	2021M03	97,95
Índice general	Índice	Nacional	2021M02	97,01
Índice general	Índice	Nacional	2021M01	97,58
Índice general	Índice	Nacional	2020M12	97,57
Índice general	Índice	Nacional	2020M11	97,37
Índice general	Índice	Nacional	2020M10	97,21
Índice general	Índice	Nacional	2020M09	96,70
Índice general	Índice	Nacional	2020M08	96,56
Índice general	Índice	Nacional	2020M07	96,51
Índice general	Índice	Nacional	2020M06	97,39
Índice general	Índice	Nacional	2020M05	96,94
Índice general	Índice	Nacional	2020M04	96,94
Índice general	Índice	Nacional	2020M03	96,65
Índice general	Índice	Nacional	2020M02	97,02
Índice general	Índice	Nacional	2020M01	97,14
Índice general	Índice	Nacional	2019M12	98,09
Índice general	Índice	Nacional	2019M11	98,17
Índice general	Índice	Nacional	2019M10	98,00
Índice general	Índice	Nacional	2019M09	97,06
Índice general	Índice	Nacional	2019M08	97,06
Índice general	Índice	Nacional	2019M07	97,11
Índice general	Índice	Nacional	2019M06	97,72
Índice general	Índice	Nacional	2019M05	97,83
Índice general	Índice	Nacional	2019M04	97,64
Índice general	Índice	Nacional	2019M03	96,67
Índice general	Índice	Nacional	2019M02	96,32
Índice general	Índice	Nacional	2019M01	96,08
Índice general	Índice	Nacional	2018M12	97,33
Índice general	Índice	Nacional	2018M11	97,77
Índice general	Índice	Nacional	2018M10	97,87
Índice general	Índice	Nacional	2018M09	96,98
Índice general	Índice	Nacional	2018M08	96,74
