Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M11;2,6
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M10;2,5
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M09;2,4
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M08;2,4
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M07;2,3
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M06;2,2
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M05;2,2
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M04;2,4
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M03;2,0
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M02;2,2
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2025M01;2,4
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M12;2,6
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M11;2,4
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M10;2,5
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M09;2,4
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M08;2,7
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M07;2,8
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M06;3,0
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M05;3,0
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M04;2,9
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M03;3,3
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M02;3,5
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2024M01;3,6
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M12;3,8
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M11;4,5
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M10;5,2
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M09;5,8
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M08;6,1
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M07;6,2
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M06;5,9
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M05;6,1
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M04;6,6
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M03;7,5
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M02;7,6
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2023M01;7,5
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M12;7,0
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M11;6,3
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M10;6,2
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M09;6,2
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M08;6,4
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M07;6,1
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M06;5,5
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M05;4,9
Tipo de dato;Variación anual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2022M04;4,4
